#{"t_start": 1769326473.0681448, "env_id": "FlappyBird-v0"}
r,l,t
-8.7,50,0.757905
-5.7,50,0.871519
-8.1,50,1.068181
-6.9,50,1.291048
-7.5,50,1.518703
-6.9,50,1.743553
-8.7,50,1.97126
-6.3,50,2.185462
-8.1,50,2.407353
-5.7,50,2.636236
-6.3,50,2.858905
-7.5,50,3.076535
-8.1,50,3.295356
-6.9,50,3.521272
-5.1,50,3.74176
-8.1,50,3.963318
-6.9,50,4.175288
-6.9,50,4.397483
-6.9,50,4.61733
-8.1,50,4.842359
-5.1,50,5.067748
-6.3,50,5.28762
-8.7,50,5.510778
-6.3,50,5.724572
-7.5,50,5.947448
-6.3,50,6.181504
-6.9,50,6.401801
-8.1,50,6.620987
-7.5,50,6.862128
-7.5,50,7.096339
-6.3,50,7.347961
-8.1,50,7.564379
-3.9,50,7.796467
-0.9,50,8.014683
-6.9,50,8.252183
-6.9,50,8.47448
-8.1,50,8.692558
-5.7,50,8.915323
-8.7,50,9.138923
-1.5,50,9.453538
-6.9,50,9.675493
-0.9,50,9.893665
-0.9,50,10.11853
-6.9,50,10.343384
-4.5,50,10.572628
-3.9,50,10.794501
-7.5,50,11.011398
-3.9,50,11.239096
-9.3,50,11.470078
-0.9,50,11.701525
-2.1,50,11.932076
-8.1,50,12.149068
-5.7,50,12.380048
-3.9,50,12.613159
-4.5,50,12.841916
-1.5,50,13.069285
-2.5,58,13.341089
-3.9,50,13.575107
-3.9,50,13.810048
-0.9,50,14.058337
-0.9,50,14.294374
-0.9,50,14.523932
-0.9,50,14.747821
-0.9,50,14.97761
-1.0,55,15.242545
-0.9,50,15.475558
0.8,31,15.611364
-0.9,50,15.855731
2.1,50,16.10839
0.8,31,16.268317
-0.4,55,16.532199
-0.3,50,16.759361
0.8,31,16.917429
0.8,31,17.069806
-0.3,50,17.31532
0.8,31,17.46719
0.8,31,17.627182
-0.5,54,17.883647
-2.6,57,18.155381
0.8,31,18.307376
0.8,31,18.459525
0.8,31,18.620842
-2.7,50,18.856614
-2.0,57,19.122566
0.8,31,19.2827
0.8,31,19.439253
0.6,53,19.698838
-3.1,58,19.992551
-1.5,50,20.228866
0.8,31,20.384528
0.8,31,20.540074
-2.7,50,20.782002
-2.1,50,21.016973
-4.2,59,21.304617
-1.5,50,21.546583
-0.9,50,21.787677
-3.1,58,22.066497
-1.5,50,22.309305
-1.5,50,22.556201
-0.9,50,22.797228
-2.7,50,23.108557
1.6,51,23.353212
0.8,31,23.499039
0.8,31,23.65217
-1.5,56,23.916273
1.5,50,24.165943
-2.7,50,24.401108
-2.7,50,24.639606
1.1,52,24.889225
-0.9,50,25.127253
0.9,50,25.373652
-2.7,50,25.601566
1.5,50,25.846691
0.8,31,26.004908
0.8,31,26.167603
-2.7,50,26.42067
-0.9,50,26.660798
-2.7,50,26.901401
0.8,31,27.057557
0.8,31,27.20263
0.8,31,27.35136
1.4,55,27.623686
-2.7,50,27.860991
-2.7,50,28.115076
1.4,55,28.39139
0.8,31,28.547248
0.8,31,28.694776
0.8,31,28.843907
0.8,31,28.988378
0.8,31,29.142458
0.8,31,29.299515
1.1,52,29.563714
2.1,50,29.804707
2.5,54,30.067937
-2.3,60,30.359536
0.8,31,30.51375
0.8,31,30.66091
2.9,58,30.94193
0.8,31,31.105477
0.8,31,31.265591
0.8,31,31.421077
0.8,31,31.582082
0.8,31,31.734071
0.8,31,31.900081
2.1,44,32.114356
0.8,31,32.279882
0.8,31,32.45711
0.8,31,32.619925
-0.9,50,32.863326
0.8,31,33.016424
0.8,31,33.170733
0.8,31,33.323411
2.2,51,33.563925
0.8,31,33.710395
0.8,31,33.866435
3.1,60,34.150108
0.8,31,34.297654
0.8,31,34.557003
0.8,31,34.72274
-1.1,60,35.004748
-1.9,58,35.286024
0.8,31,35.435155
0.8,31,35.595355
0.8,31,35.738033
0.8,31,35.897312
1.7,52,36.157707
-0.9,50,36.396461
-2.3,60,36.68314
0.0,59,36.975464
-2.8,55,37.238797
0.8,31,37.389906
0.8,31,37.533115
-1.8,59,37.82334
2.1,50,38.050107
0.3,50,38.287636
2.3,52,38.53571
0.6,59,38.817359
-2.0,57,39.090639
-2.3,60,39.374992
-1.2,53,39.623204
1.5,50,39.863249
2.4,53,40.110261
-0.9,50,40.352985
1.5,50,40.590904
-0.9,50,40.8215
2.2,51,41.064161
-2.0,57,41.345316
2.1,50,41.587821
-2.4,53,41.841754
0.9,50,42.074514
-2.8,55,42.341493
-0.2,51,42.575407
0.9,50,42.810434
2.3,52,43.058331
1.1,52,43.303448
-1.6,55,43.558212
1.7,52,43.804696
0.3,50,44.041344
-0.9,50,44.278411
-0.9,50,44.516874
-0.6,53,44.767824
-0.9,50,45.005814
0.8,31,45.166849
0.8,31,45.322431
0.8,31,45.468336
0.8,31,45.626358
0.8,31,45.777727
0.8,31,45.932694
0.8,31,46.074715
0.8,31,46.247943
2.9,52,46.510424
0.8,31,46.666172
0.8,31,46.820405
3.1,54,47.084513
0.8,31,47.241428
0.8,31,47.403499
0.8,31,47.554088
0.8,31,47.704713
0.8,31,47.869082
0.8,31,48.022993
0.8,31,48.184271
1.0,51,48.544739
0.8,31,48.703163
0.8,31,48.866737
0.8,31,49.095551
2.1,50,49.338649
0.8,31,49.495809
0.8,31,49.655377
2.1,50,49.894632
0.8,31,50.038373
0.8,31,50.198118
2.7,50,50.440533
-0.9,50,50.686228
2.9,52,50.94024
0.8,31,51.091045
0.8,31,51.245976
2.1,56,51.531712
0.8,31,51.684213
0.8,31,51.837924
0.8,31,51.991074
2.6,55,52.252375
0.8,31,52.411542
0.8,31,52.567657
2.1,56,52.846904
0.8,31,53.008666
0.8,31,53.164194
-0.9,50,53.408484
0.3,50,53.645023
2.4,86,54.062612
-2.7,50,54.3141
-1.5,50,54.55214
-1.5,50,54.799801
-1.5,50,55.048625
2.7,50,55.295128
-0.9,50,55.538336
-1.5,50,55.781099
-0.9,50,56.015372
-0.9,50,56.263665
-0.9,50,56.499785
-1.5,50,56.742647
2.7,50,56.979019
1.3,60,57.260218
4.3,69,57.589803
3.6,68,57.928005
2.9,52,58.171341
-0.9,50,58.418275
1.8,86,58.818665
-0.6,86,59.228041
0.9,50,59.464954
5.6,70,59.792008
-0.9,50,60.032618
0.3,50,60.287219
2.7,50,60.537017
